#lon lat slope aspect veg
12.17530 47.09389 4.49 349.73 1
12.18554 47.09389 10.94 47.57 1
12.19578 47.09389 10.94 47.57 1
12.16506 47.08365 5.57 230.62 1
12.17530 47.08365 12.63 168.51 1
12.18554 47.08365 12.76 171.11 1
12.19578 47.08365 12.76 171.11 1
12.20601 47.08365 5.24 205.27 1
12.21625 47.08365 7.95 354.76 1
12.22649 47.08365 18.13 6.49 1
12.08314 47.07341 11.78 201.94 1
12.09338 47.07341 10.13 79.07 1
12.10362 47.07341 4.49 74.51 1
12.11386 47.07341 4.49 74.51 1
12.12410 47.07341 4.72 196.79 1
12.13434 47.07341 10.40 151.22 1
12.14458 47.07341 13.93 151.52 1
12.15482 47.07341 13.93 151.52 1
12.16506 47.07341 16.50 166.51 1
12.17530 47.07341 14.91 172.69 1
12.18554 47.07341 8.91 210.04 1
12.19578 47.07341 9.51 256.36 1
12.20601 47.07341 9.51 256.36 1
12.21625 47.07341 11.25 282.67 1
12.22649 47.07341 14.03 327.37 1
12.03195 47.06317 10.22 243.40 1
12.04219 47.06317 4.18 122.85 1
12.05242 47.06317 8.96 81.70 1
12.06266 47.06317 8.96 81.70 1
12.07290 47.06317 7.11 116.41 1
12.08314 47.06317 12.70 164.78 1
12.09338 47.06317 16.86 158.11 1
12.10362 47.06317 17.79 152.31 1
12.11386 47.06317 17.79 152.31 1
12.12410 47.06317 18.55 155.48 1
12.13434 47.06317 13.38 162.88 10
12.14458 47.06317 3.75 260.02 2
12.15482 47.06317 20.07 162.62 1
12.16506 47.06317 11.25 180.40 1
12.17530 47.06317 7.40 274.80 7
12.18554 47.06317 15.51 310.21 1
12.19578 47.06317 17.60 321.85 1
12.20601 47.06317 17.60 321.85 1
12.21625 47.06317 15.22 315.82 1
11.98075 47.05293 1.95 30.60 1
11.99099 47.05293 15.76 68.79 1
12.00123 47.05293 8.58 58.27 1
12.03195 47.05293 14.15 198.87 1
12.04219 47.05293 17.20 177.89 1
12.05242 47.05293 15.57 159.87 1
12.06266 47.05293 15.57 159.87 1
12.07290 47.05293 15.41 136.69 1
12.08314 47.05293 16.29 142.93 1
12.09338 47.05293 18.12 156.99 1
12.10362 47.05293 16.62 157.86 10
12.11386 47.05293 16.62 157.86 10
12.12410 47.05293 7.82 159.16 10
12.13434 47.05293 6.93 299.47 10
12.14458 47.05293 17.04 309.04 7
12.15482 47.05293 17.04 309.04 7
12.16506 47.05293 17.34 319.03 1
12.17530 47.05293 10.55 342.10 1
12.18554 47.05293 6.82 294.32 1
12.19578 47.05293 12.90 260.48 1
12.20601 47.05293 12.60 275.62 1
12.21625 47.05293 5.00 270.33 1
11.95003 47.04269 16.15 317.34 1
11.96027 47.04269 5.47 259.01 1
11.97051 47.04269 5.47 259.01 1
11.98075 47.04269 9.86 174.92 1
11.99099 47.04269 16.61 132.39 1
12.00123 47.04269 15.19 136.08 1
12.01147 47.04269 12.36 176.37 1
12.02171 47.04269 12.36 176.37 1
12.03195 47.04269 16.14 173.10 1
12.04219 47.04269 19.14 175.89 1
12.05242 47.04269 17.39 179.68 1
12.06266 47.04269 17.39 179.68 1
12.07290 47.04269 16.12 147.86 1
12.08314 47.04269 18.28 135.09 1
12.09338 47.04269 12.25 153.07 10
12.10362 47.04269 3.27 244.16 2
12.11386 47.04269 3.27 244.16 2
12.12410 47.04269 13.79 321.58 10
12.13434 47.04269 19.44 326.53 1
12.14458 47.04269 14.92 316.82 1
12.15482 47.04269 14.92 316.82 1
12.16506 47.04269 9.16 286.52 1
12.17530 47.04269 4.17 313.33 1
12.18554 47.04269 10.66 329.08 1
12.19578 47.04269 15.63 316.52 1
12.20601 47.04269 15.63 316.52 1
12.21625 47.04269 8.65 51.47 1
11.91931 47.03245 13.68 46.12 1
11.92955 47.03245 13.68 46.12 1
11.93979 47.03245 6.04 356.07 1
11.95003 47.03245 1.81 169.31 1
11.96027 47.03245 12.60 152.68 1
11.97051 47.03245 17.38 165.55 1
11.98075 47.03245 17.38 165.55 1
11.99099 47.03245 19.89 148.28 1
12.00123 47.03245 18.08 146.85 1
12.01147 47.03245 16.87 166.87 1
12.02171 47.03245 16.87 166.87 1
12.03195 47.03245 19.79 164.05 1
12.04219 47.03245 21.13 171.65 10
12.05242 47.03245 21.52 187.89 10
12.06266 47.03245 18.79 166.23 1
12.07290 47.03245 18.79 166.23 1
12.08314 47.03245 12.78 141.31 10
12.09338 47.03245 5.49 303.32 2
12.10362 47.03245 18.67 316.35 10
12.11386 47.03245 18.67 316.35 10
12.12410 47.03245 22.23 320.63 7
12.13434 47.03245 19.66 329.44 1
12.14458 47.03245 15.46 347.87 1
12.15482 47.03245 11.73 343.46 1
12.16506 47.03245 11.73 343.46 1
12.17530 47.03245 8.33 327.98 1
12.18554 47.03245 11.78 303.36 1
12.19578 47.03245 12.36 307.21 1
12.20601 47.03245 12.36 307.21 1
11.89883 47.02221 9.75 129.27 1
11.90907 47.02221 4.45 154.92 1
11.91931 47.02221 15.80 126.96 1
11.92955 47.02221 15.80 126.96 1
11.93979 47.02221 14.60 161.57 1
11.95003 47.02221 16.63 162.38 1
11.96027 47.02221 17.65 147.71 1
11.97051 47.02221 16.96 155.88 1
11.98075 47.02221 16.96 155.88 1
11.99099 47.02221 17.90 151.54 8
12.00123 47.02221 17.45 148.47 10
12.01147 47.02221 19.29 154.19 10
12.02171 47.02221 19.29 154.19 10
12.03195 47.02221 19.61 164.66 10
12.04219 47.02221 14.69 176.61 2
12.05242 47.02221 11.32 205.65 10
12.06266 47.02221 6.19 190.90 10
12.07290 47.02221 6.19 190.90 10
12.08314 47.02221 5.41 307.82 10
12.09338 47.02221 18.29 310.67 10
12.10362 47.02221 22.13 311.09 1
12.11386 47.02221 22.13 311.09 1
12.12410 47.02221 19.38 316.12 1
12.13434 47.02221 11.09 328.51 1
12.14458 47.02221 7.86 335.06 1
12.15482 47.02221 9.43 350.82 1
12.16506 47.02221 9.43 350.82 1
12.17530 47.02221 5.62 22.63 1
12.18554 47.02221 9.04 257.70 1
11.60189 47.01197 16.05 302.90 1
11.61213 47.01197 16.05 302.90 1
11.62237 47.01197 14.86 262.07 1
11.63261 47.01197 8.15 177.95 1
11.86812 47.01197 9.57 175.96 1
11.87836 47.01197 16.95 137.09 1
11.88860 47.01197 16.95 137.09 1
11.89883 47.01197 21.08 133.16 1
11.90907 47.01197 19.57 152.21 1
11.91931 47.01197 17.06 156.92 1
11.92955 47.01197 17.06 156.92 1
11.93979 47.01197 17.83 132.35 1
11.95003 47.01197 16.74 151.28 10
11.96027 47.01197 19.35 161.55 11
11.97051 47.01197 20.56 153.67 10
11.98075 47.01197 20.56 153.67 10
11.99099 47.01197 18.81 152.20 10
12.00123 47.01197 19.40 153.50 10
12.01147 47.01197 14.11 152.73 2
12.02171 47.01197 14.11 152.73 2
12.03195 47.01197 2.59 232.18 2
12.04219 47.01197 11.43 322.23 10
12.05242 47.01197 16.48 333.28 10
12.06266 47.01197 17.52 343.98 10
12.07290 47.01197 17.52 343.98 10
12.08314 47.01197 20.43 329.34 10
12.09338 47.01197 23.14 317.63 1
12.10362 47.01197 21.19 314.45 1
12.11386 47.01197 21.19 314.45 1
12.12410 47.01197 11.31 317.38 1
12.13434 47.01197 2.44 112.80 1
11.45854 47.00173 14.43 324.85 1
11.46878 47.00173 14.43 324.85 1
11.47902 47.00173 5.22 78.87 1
11.48926 47.00173 12.76 85.50 10
11.49950 47.00173 4.67 65.12 10
11.50974 47.00173 11.30 300.77 10
11.51998 47.00173 11.30 300.77 10
11.58141 47.00173 4.96 314.42 1
11.59165 47.00173 3.95 73.07 1
11.60189 47.00173 6.46 199.68 1
11.61213 47.00173 6.46 199.68 1
11.62237 47.00173 16.01 204.51 1
11.63261 47.00173 18.33 173.74 1
11.64285 47.00173 18.06 145.18 1
11.65309 47.00173 18.06 145.18 1
11.84764 47.00173 6.17 270.46 1
11.85788 47.00173 12.74 156.85 1
11.86812 47.00173 17.63 168.50 1
11.87836 47.00173 18.39 147.31 1
11.88860 47.00173 18.39 147.31 1
11.89883 47.00173 21.10 127.66 1
11.90907 47.00173 19.83 139.89 1
11.91931 47.00173 19.72 165.11 8
11.92955 47.00173 19.72 165.11 8
11.93979 47.00173 20.50 151.05 10
11.95003 47.00173 20.47 143.61 10
11.96027 47.00173 17.45 161.31 10
11.97051 47.00173 11.17 160.00 2
11.98075 47.00173 11.17 160.00 2
11.99099 47.00173 2.41 284.45 2
12.00123 47.00173 14.19 325.07 10
12.01147 47.00173 20.72 322.60 10
12.02171 47.00173 20.72 322.60 10
12.03195 47.00173 19.28 319.43 10
12.04219 47.00173 16.28 318.16 1
12.05242 47.00173 14.04 321.05 1
12.06266 47.00173 20.34 347.16 1
12.07290 47.00173 20.34 347.16 1
12.08314 47.00173 17.64 334.41 1
12.09338 47.00173 15.78 307.96 1
12.10362 47.00173 10.57 287.03 1
12.11386 47.00173 4.56 164.01 1
12.12410 47.00173 4.56 164.01 1
11.31519 46.99149 28.52 1.53 1
11.32543 46.99149 26.38 359.57 1
11.33567 46.99149 26.38 359.57 1
11.34591 46.99149 25.51 353.59 1
11.35615 46.99149 25.09 359.91 2
11.44830 46.99149 7.78 315.22 1
11.45854 46.99149 5.38 142.01 1
11.46878 46.99149 5.38 142.01 1
11.47902 46.99149 12.26 134.63 8
11.48926 46.99149 9.75 119.91 8
11.49950 46.99149 10.51 297.07 10
11.50974 46.99149 20.72 297.77 10
11.51998 46.99149 20.72 297.77 10
11.53022 46.99149 13.65 307.30 1
11.54046 46.99149 3.43 304.12 1
11.55070 46.99149 6.78 169.21 1
11.56094 46.99149 6.78 169.21 1
11.57118 46.99149 4.80 262.14 1
11.58141 46.99149 11.57 174.85 1
11.59165 46.99149 17.43 158.56 1
11.60189 46.99149 17.30 169.93 1
11.61213 46.99149 17.30 169.93 1
11.62237 46.99149 19.35 182.12 1
11.63261 46.99149 21.16 175.09 1
11.64285 46.99149 16.68 172.55 1
11.65309 46.99149 16.68 172.55 1
11.66333 46.99149 7.15 193.01 1
11.67357 46.99149 7.28 261.33 1
11.68381 46.99149 4.08 303.27 1
11.69405 46.99149 19.59 14.59 1
11.70429 46.99149 19.59 14.59 1
11.71453 46.99149 39.88 12.13 1
11.81692 46.99149 35.92 352.66 1
11.82716 46.99149 13.39 324.15 1
11.83740 46.99149 11.48 153.73 1
11.84764 46.99149 11.48 153.73 1
11.85788 46.99149 17.19 145.87 1
11.86812 46.99149 14.95 162.43 1
11.87836 46.99149 16.01 152.79 1
11.88860 46.99149 16.01 152.79 1
11.89883 46.99149 18.39 128.34 1
11.90907 46.99149 18.32 121.32 8
11.91931 46.99149 16.50 143.24 10
11.92955 46.99149 18.75 154.53 10
11.93979 46.99149 18.75 154.53 10
11.95003 46.99149 14.54 147.08 2
11.96027 46.99149 1.90 258.01 2
11.97051 46.99149 12.04 330.67 10
11.98075 46.99149 12.04 330.67 10
11.99099 46.99149 16.75 331.55 10
12.00123 46.99149 18.51 318.12 10
12.01147 46.99149 15.73 315.72 10
12.02171 46.99149 12.25 310.47 1
12.03195 46.99149 12.25 310.47 1
12.04219 46.99149 12.87 302.86 1
12.05242 46.99149 10.47 312.15 1
12.06266 46.99149 4.15 342.25 1
12.07290 46.99149 4.15 342.25 1
12.08314 46.99149 8.78 113.22 1
12.09338 46.99149 11.19 145.82 1
12.10362 46.99149 9.43 201.60 1
12.11386 46.99149 6.00 221.72 1
12.12410 46.99149 6.00 221.72 1
12.13434 46.99149 1.59 155.17 1
11.26400 46.98125 10.36 22.67 1
11.27423 46.98125 3.61 45.48 1
11.28447 46.98125 3.61 45.48 1
11.29471 46.98125 5.15 142.78 1
11.30495 46.98125 11.56 146.51 1
11.31519 46.98125 17.22 156.52 1
11.32543 46.98125 19.86 178.22 1
11.33567 46.98125 19.86 178.22 1
11.34591 46.98125 20.97 183.74 1
11.35615 46.98125 17.90 197.62 1
11.36639 46.98125 9.65 163.38 1
11.37663 46.98125 9.65 163.38 1
11.44830 46.98125 7.81 128.86 1
11.45854 46.98125 15.21 143.94 2
11.46878 46.98125 15.21 143.94 2
11.47902 46.98125 12.99 150.78 8
11.48926 46.98125 3.27 241.19 10
11.49950 46.98125 17.94 294.04 10
11.50974 46.98125 16.90 292.52 1
11.51998 46.98125 16.90 292.52 1
11.53022 46.98125 4.13 229.92 1
11.54046 46.98125 14.23 154.64 1
11.55070 46.98125 18.77 161.54 1
11.56094 46.98125 18.77 161.54 1
11.57118 46.98125 19.30 160.48 8
11.58141 46.98125 18.24 162.02 10
11.59165 46.98125 16.69 169.48 10
11.60189 46.98125 14.59 167.58 10
11.61213 46.98125 14.59 167.58 10
11.62237 46.98125 8.97 170.61 8
11.63261 46.98125 3.75 267.60 2
11.64285 46.98125 16.34 197.18 8
11.65309 46.98125 16.34 197.18 8
11.66333 46.98125 14.28 218.50 1
11.67357 46.98125 11.91 226.01 1
11.68381 46.98125 10.25 245.84 1
11.69405 46.98125 14.87 285.62 1
11.70429 46.98125 14.87 285.62 1
11.71453 46.98125 14.67 333.91 1
11.77596 46.98125 9.09 190.48 1
